item	nome	imagem	link	descricao	tema	descritores	tipo de recurso	idioma	autores	permissoes	tamanho	versão android	versao app	data revisão	ano	disciplina	
52	Word Academy	recursos/img/Mobile/Portugues/7/wordacademy.jpg	https://play.google.com/store/apps/details?id=com.scimob.wordacademy	O aplicativo “Word Academy” traz a composição de vocábulos, a partir da conexão das letras em sua ordem correta. Por meio de dicas, o recurso busca estimular o aluno a encontrar variações de um mesmo conjunto de letras até acertar o que se pede.	Exploração de palavras.	DPII03,DPII04,DPII19	Exercício e prática.	Português.	Scimob.	Armazenamento, informações sobre a conexão Wi-Fi, fotos/mídia/arquivos, telefone, ID do dispositivo e informações da chamada, local, outros.	Varia de acordo com o dispositivo.	Varia de acordo com o dispositivo.	Varia de acordo com o dispositivo.	24/11/2020.	7	Portugues	 
53	94 Segundos	recursos/img/Mobile/Portugues/7/94segundos.jpg	https://play.google.com/store/apps/details?id=com.ninetyfour.seconds.app	O aplicativo “94 Segundos” trabalha com a identificação das palavras e o uso correto da ortografia, a partir de sugestões das letras iniciais e de frases que se relacionam ao vocábulo adequado para o tema da rodada. Além disso, o recurso também aborda a variedade de substantivos.	Conceituação e identificação de palavras. Substantivos. Ortografia.	DPII03,DPII04,DPII18,DPII19	Jogo.	Português.	Scimob.	Armazenamento, informações sobre a conexão Wi-Fi, fotos/mídia/arquivos, telefone, ID do dispositivo e informações da chamada, outros.	28 MB.	4.2 ou superior.	6.0.22.	24/11/2020.	7	Portugues	 
54	22 Pistas: Jogo de palavras	recursos/img/Mobile/Portugues/7/22pistas.jpg	https://play.google.com/store/apps/details?id=com.sgg.wordrings4&hl=pt_BR	O aplicativo “22 Pistas: Jogo de palavras” é um jogo de formação de palavras que utiliza sílabas e fragmentos de sílabas, em forma de espiral, para preenchimento dos espaços. O recurso também explora os fonemas e a separação silábica, a partir da relação com a imagem.	Identificação de palavras.	DPII03,DPII04,DPII05,DPII19	Jogo.	Português.	Second Gear Games.	Informações sobre a conexão Wi-Fi, outros.	28 MB.	2.3.3 ou superior.	1.0.8.	24/11/2020.	7	Portugues	 
55	11 Pistas: Jogo de palavras	recursos/img/Mobile/Portugues/7/11pistas.jpg	https://play.google.com/store/apps/details?id=com.sgg.elite	O aplicativo “11 Pistas: Jogo de palavras” é um jogo de formação de palavras que utiliza sílabas e fragmentos de sílabas, em forma de espiral, para preenchimento dos espaços. O recurso também explora os fonemas e a separação silábica, a partir da relação com a imagem.	Identificação de palavras.	DPII03,DPII04,DPII05,DPII19	Jogo.	Português.	Second Gear Games.	Informações sobre a conexão Wi-Fi, outros.	22 MB.	4.0.3 ou superior.	1.0.4.	24/11/2020.	7	Portugues	 
56	Crianceiras - Poemas de Manoel de Barros	recursos/img/Mobile/Portugues/7/Crianceiras.jpg	https://play.google.com/store/apps/details?id=br.com.webcoregames.crianceiras	O aplicativo “Crianceiras - Poemas de Manoel de Barros” é um livro interativo de recortes poéticos que traz o gênero lírico poesia, como um incentivo à leitura e à interpretação textual. Por meio de atividades que dialogam com as artes visuais e com poesias animadas, o aplicativo trabalha a escrita narrativa.	Poesias. Leitura. Interpretação textual.	DPII01,DPII03,DPII05,DPII12,DPII18,DPII20	Livro Digital / Animação.	Português.	Webcore Games.	Armazenamento, identidade, informações sobre a conexão Wi-Fi, fotos/mídia/arquivos, contatos, telefone,  ID do dispositivo e informações da chamada, câmera, contatos, outros.	78 MB.	4.0.3 ou superior.	1.0.	24/11/2020.	7	Portugues	 
58	Mister Crase	recursos/img/Mobile/Portugues/8/mistercrase.jpg	https://play.google.com/store/apps/details?id=br.com.agiumsoft.MisterCrase&hl=pt	O aplicativo “Mister Crase” é um jogo que utiliza o cenário investigativo para trabalhar as regras de emprego da crase. A partir disso, busca estimular a resolução de problemas ortográficos, por meio da imersão na narrativa.	Gramática. Crase.	DPII01,DPII17,DPII19	Jogo.	Português.	Pest Apps.	Outros (Acesso total à rede).	46 MB.	4.1 ou superior.	1.2.1.	24/11/2020.	8	Portugues	 
59	TV Escola	recursos/img/Mobile/Portugues/9/TVEscola.jpg	https://play.google.com/store/apps/details?id=br.gov.mec.tvescola.activity&hl=pt_BR	O aplicativo "TV Escola" apresenta uma variedade de conteúdos multidisciplinares. Quanto à Língua Portuguesa, o RED disponibiliza séries de interprogramas que tratam da vida e da obra de escritores da Literatura Brasileira, além de trazer vídeos que abordam os gêneros textuais e o uso correto de palavras e expressões da nossa língua.	Literatura. Gêneros textuais. Gramática. Grafia correta de palavras.	DPII12,DPII18,DPII19	Plataforma Digital.	Português.	Roquette Pinto.	ID do dispositivo e informações da chamada, telefone, câmera, informações de conexão Wi-Fi, fotos/mídia/arquivos, armazenamento, agenda, outros.	50,61 MB.	5.0 ou superior.	3.4.1.	24/11/2020.	9	Portugues	
60	Artes e literatura	recursos/img/Mobile/Portugues/9/arteseliteratura.jpg	https://play.google.com/store/apps/details?id=com.EvoBooks.LiteraturaDemo	O aplicativo “Artes e literatura” é um guia que aborda os principais elementos para a compreensão dos textos literários pertencentes ao movimento artístico chamado Romantismo.	Textos literários. Romantismo.	DPII04,DPII06,DPII10,DPII12,DPII18	Hipertexto.	Português.	EvoBooks.	Fotos/mídia/arquivos, armazenamento, outros.	50 MB.	4.1 ou superior.	1.7.	24/11/2020.	9	Portugues	 
61	Português Panda para Concursos e Provas	recursos/img/Mobile/Portugues/9/portuguespanda.jpg	https://play.google.com/store/apps/details?id=sobrinho.pandaportuguesfundamental&hl=pt	O aplicativo “Português Panda para Concursos e Provas” é um simulado que envolve regras de concordância da Língua Portuguesa, trazendo, como complemento, videoaulas para aprimorar a aprendizagem das regras estudadas.	Gramática. Interpretação de textos.	DPII01,DPII03,DPII04,DPII06,DPII07,DPII08,DPII11,DPII14,DPII18,DPII19	Exercício e prática.	Português.	Pedro Sobrinho.	Fotos/mídia/arquivos, armazenamento, outros.	8.2 MB.	4.2 ou superior.	3.6.	24/11/2020.	9	Portugues	 
62	Conjugação de Verbos Offline	recursos/img/Mobile/Portugues/9/conjugacaodosverbosoff.jpg	https://play.google.com/store/apps/details?id=com.setegraus.conjugacao&hl=pt	O aplicativo “Conjugação de Verbos Offline” possibilita a consulta rápida às conjugações de diferentes verbos da Língua Portuguesa. Com isso, o aluno terá acesso às formas e aos tempos verbais de maior complexidade. O recurso contribui, ainda, para a compreensão da conjugação verbal e para a ampliação do vocabulário.	Conjugação de verbos.	DPII01,DPII19	Guia de Consulta.	Português.	7Graus.	Informações sobre a conexão Wi-Fi, fotos/mídia/arquivos, armazenamento, outros.	Varia de acordo com o dispositivo.	4.1 ou superior.	1.4.1.	24/11/2020.	9	Portugues	 
